id,Grantee Name,current_active_developers,developer_retention_rate,contributor_onboarding_rate,gmv_growth,scaling_community_rounds,donor_retention_rate,unique_donor_growth,network_contribution_score
26,l2beat,34,8.6,28,"$94,956 ",0,1944,7982,18
9,defi-llama,14,14.6,3,"$87,210 ",1,3595,12748,14
15,ethstaker,8,12.3,3,"$80,640 ",0,1325,5247,21
3,wevm,7,9.8,6,"$77,887 ",2,143,1774,25
1,ethereum-attestation-service,2,17.8,0,"$74,703 ",1,379,3301,24
22,ethers-io,1,18,0,"$68,591 ",1,414,3091,25
20,dappnode,23,10.2,9,"$65,514 ",0,523,5484,23
17,blockscout,25,12.4,14,"$60,766 ",2,263,3880,20
2,heyxyz,2,9.8,2,"$59,815 ",2,7083,18376,11
8,revoke-cash,1,18.1,0,"$59,815 ",1,5861,15296,13
27,idriss-crypto,5,8.8,2,"$42,154 ",0,3364,8290,16
7,rotki,8,12.4,3,"$37,402 ",5,118,1292,24
25,zkemail,17,7.7,15,"$36,634 ",0,248,3565,24
6,beacon-chain,11,7.5,3,"$35,079 ",1,154,2060,26
24,0xfacet,2,14.3,2,"$34,179 ",0,373,5339,15
23,giveth,25,8.6,10,"$33,529 ",5,213,2210,28
16,tor-project,4,7,2,"$29,750 ",0,237,3854,22
0,tapexyz,1,16,1,"$27,932 ",1,1272,2849,18
4,poapin-glory-lab,1,16.1,0,"$23,237 ",3,982,4186,21
21,hypercerts,4,10.3,3,"$21,321 ",3,168,3909,26
18,citizenwallet,7,7.3,4,"$20,931 ",0,96,2241,30
13,fundingthecommons,3,4.1,3,"$17,893 ",4,34,297,37
10,zaratandotworld,1,12,1,"$15,988 ",0,228,1420,21
14,carmineoptions,8,11.5,4,"$15,056 ",0,327,2791,18
12,datonic,1,16.8,0,"$14,975 ",1,49,1684,26
5,glo-foundation,5,4.5,0,"$14,673 ",2,92,875,27
30,shapeshift,9,12.2,1,"$12,796 ",0,102,2255,23
29,kleo-network,4,6.2,2,"$10,169 ",1,184,2780,24
11,jobstash,7,9,7,"$10,037 ",2,15,346,29
19,zkp2p,3,14.1,1,"$7,228 ",1,44,519,24
28,REJECTED,1,16.1,0,"$17,893 ",1,10,100,37
